recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1748908800,123456789,spot,depth5,0,0,0,BTCUSDT,"{""lastUpdateId"":4523891200,""bids"":[[""67234.56"",""0.12300000""],[""67234.00"",""0.45600000""],[""67233.50"",""1.20000000""],[""67232.00"",""2.34500000""],[""67230.00"",""0.87600000""]],""asks"":[[""67235.00"",""0.09800000""],[""67235.50"",""0.32100000""],[""67236.00"",""0.55400000""],[""67237.00"",""1.10000000""],[""67238.00"",""0.76500000""]]}"
1748908800,234567890,spot,depth_diff,0,0,1,BTCUSDT,"{""e"":""depthUpdate"",""E"":1748908800234,""s"":""BTCUSDT"",""U"":4523891201,""u"":4523891205,""b"":[[""67234.56"",""0.15600000""],[""67231.00"",""0.50000000""]],""a"":[[""67235.00"",""0.07200000""],[""67239.00"",""0.30000000""]]}"
1748908800,345678901,spot,trade,0,0,2,BTCUSDT,"{""e"":""trade"",""E"":1748908800345,""s"":""BTCUSDT"",""t"":3892741023,""p"":""67235.00"",""q"":""0.07200000"",""b"":456789012,""a"":456789013,""T"":1748908800344,""m"":false,""M"":true}"
1748908800,456789012,spot,depth_diff,0,0,3,BTCUSDT,"{""e"":""depthUpdate"",""E"":1748908800456,""s"":""BTCUSDT"",""U"":4523891206,""u"":4523891210,""b"":[[""67234.00"",""0.00000000""],[""67233.00"",""1.80000000""]],""a"":[[""67235.50"",""0.28000000""],[""67240.00"",""0.15000000""]]}"
1748908800,567890123,spot,depth5,0,0,4,BTCUSDT,"{""lastUpdateId"":4523891210,""bids"":[[""67234.56"",""0.15600000""],[""67233.50"",""1.20000000""],[""67233.00"",""1.80000000""],[""67232.00"",""2.34500000""],[""67231.00"",""0.50000000""]],""asks"":[[""67235.00"",""0.07200000""],[""67235.50"",""0.28000000""],[""67236.00"",""0.55400000""],[""67237.00"",""1.10000000""],[""67238.00"",""0.76500000""]]}"
1748908800,678901234,spot,depth_diff,0,0,5,BTCUSDT,"{""e"":""depthUpdate"",""E"":1748908800678,""s"":""BTCUSDT"",""U"":4523891211,""u"":4523891214,""b"":[[""67235.00"",""0.20000000""]],""a"":[[""67235.00"",""0.00000000""],[""67236.50"",""0.40000000""]]}"
1748908800,789012345,spot,trade,0,0,6,BTCUSDT,"{""e"":""trade"",""E"":1748908800789,""s"":""BTCUSDT"",""t"":3892741024,""p"":""67235.50"",""q"":""0.02500000"",""b"":456789014,""a"":456789015,""T"":1748908800788,""m"":true,""M"":true}"
1748908801,12345678,spot,depth_diff,0,0,7,BTCUSDT,"{""e"":""depthUpdate"",""E"":1748908801012,""s"":""BTCUSDT"",""U"":4523891215,""u"":4523891219,""b"":[[""67236.00"",""0.75000000""],[""67230.00"",""0.00000000""]],""a"":[[""67237.50"",""0.90000000""],[""67238.00"",""0.00000000""]]}"
1748908801,123456789,spot,depth5,0,0,8,BTCUSDT,"{""lastUpdateId"":4523891219,""bids"":[[""67236.00"",""0.75000000""],[""67235.00"",""0.20000000""],[""67234.56"",""0.15600000""],[""67233.50"",""1.20000000""],[""67233.00"",""1.80000000""]],""asks"":[[""67235.50"",""0.28000000""],[""67236.00"",""0.55400000""],[""67236.50"",""0.40000000""],[""67237.00"",""1.10000000""],[""67237.50"",""0.90000000""]]}"
1748908801,234567890,spot,depth_diff,0,0,9,BTCUSDT,"{""e"":""depthUpdate"",""E"":1748908801234,""s"":""BTCUSDT"",""U"":4523891220,""u"":4523891223,""b"":[[""67237.00"",""0.10000000""]],""a"":[[""67235.50"",""0.00000000""],[""67238.50"",""0.60000000""]]}"